产权,价格（万元）,区域,小区,年限,楼型,挂牌时间,朝向,楼层,装修情况,面积（平米）
70,123,西湖区,泊林漫谷,2015年建,暂无数据,201807,南,联排/共5层,平层/简装,89.5
70,500,西湖区,泊林漫谷,2008年建,暂无数据,201904,南 北,高楼层/共6层,精装,325.2
70,340,西湖区,泊林漫谷,2015年建,板塔结合,201903,南 北,中楼层/共33层,平层/精装,139.5
70,360,西湖区,泊林漫谷,2003年建,板楼,201902,南,中楼层/共11层,平层/精装,142.5
70,670,西湖区,泊林漫谷,2015年建,板楼,201905,南 北,联排/共1层,毛坯,259.33
70,235,西湖区,泊林漫谷,2015年建,板楼,201710,南,中楼层/共31层,平层/毛坯,86.98
70,388,西湖区,泊林漫谷,1998年建,板楼,201901,南,中楼层/共6层,平层/简装,142.92
70,700,西湖区,泊林漫谷,2011年建,板楼,201811,南,低楼层/共27层,平层/精装,254.48
70,250,西湖区,泊林漫谷,2015年建,板楼,201809,南 北,高楼层/共32层,平层/精装,90.48
70,520,西湖区,泊林漫谷,2011年建,板楼,201810,南,低楼层/共27层,平层/简装,183.82
70,723,西湖区,泊林漫谷,2011年建,板楼,201903,南,高楼层/共27层,平层/毛坯,254.48
70,260,西湖区,泊林漫谷,2015年建,板塔结合,201905,南,中楼层/共34层,平层/精装,89.02
70,260,西湖区,泊林漫谷,2009年建,板楼,201810,南,中楼层/共17层,平层/简装,88.25
70,340,西湖区,泊林漫谷,1998年建,板楼,201802,南,低楼层/共6层,平层/精装,115.2
70,380,西湖区,泊林漫谷,2009年建,板楼,201905,南,高楼层/共17层,平层/毛坯,128.29
70,650,西湖区,泊林漫谷,2015年建,板楼,201904,南,联排/共5层,精装,219.42
70,250,西湖区,泊林漫谷,1998年建,板楼,201904,南,中楼层/共5层,平层/精装,84
70,500,西湖区,泊林漫谷,2014年建,板楼,201808,南 北,中楼层/共11层,平层/毛坯,168
70,2500,西湖区,泊林漫谷,2015年建,暂无数据,201906,南 北,联排/共3层,毛坯,540.42
70,1040,西湖区,泊林漫谷,2011年建,暂无数据,201803,南,低楼层/共27层,平层/简装,210.46
70,500,西湖区,城北商贸园,2008年建,板楼,201803,南,中楼层/共6层,精装,214
70,480,西湖区,城北商贸园,2000年建,板楼,201803,南,低楼层/共3层,毛坯,175
70,158,西湖区,城北商贸园,2003年建,板楼,201904,南,中楼层/共11层,平层/精装,56.68
70,330,西湖区,城北商贸园,1996年建,板楼,201905,南,中楼层/共7层,平层/简装,115.48
70,410,西湖区,城北商贸园,2018年建,板楼,201702,南,低楼层/共34层,平层/简装,139.66
70,275,西湖区,都市阳光和苑,2008年建,板楼,201901,南,中楼层/共6层,平层/简装,140.45
70,288,西湖区,都市阳光和苑,2010年建,板楼,201905,南,低楼层/共12层,平层/简装,131.38
70,155,西湖区,都市阳光和苑,2009年建,板楼,201903,南 北,低楼层/共17层,简装,62.76
70,260,西湖区,都市阳光和苑,2008年建,板楼,201901,南 北,高楼层/共6层,平层/精装,91.53
70,1900,西湖区,都市阳光和苑,2012年建,板楼,201901,南,低楼层/共23层,其他,573.13
70,230,西湖区,墩莳家园,2003年建,板楼,201902,南,低楼层/共11层,平层/精装,111
70,450,西湖区,墩莳家园,2008年建,板楼,201804,南 北,高楼层/共6层,简装,186.21
70,305,西湖区,墩莳家园,1997年建,板楼,201807,南,中楼层/共6层,简装,116.07
70,430,西湖区,墩莳家园,2010年建,板楼,201808,南,高楼层/共17层,平层/简装,160.57
70,340,西湖区,墩莳家园,1997年建,板楼,201806,南 北,低楼层/共6层,平层/毛坯,120.56
70,238,西湖区,墩莳家园,未知年建,板楼,201804,东 南 北,低楼层/共27层,平层/毛坯,81.5
70,500,西湖区,翰墨香林苑,2015年建,塔楼,201806,南,联排/共5层,毛坯,219
70,215,西湖区,翰墨香林苑,2015年建,板楼,201904,南 北,低楼层/共32层,平层/简装,90.48
70,300,西湖区,翰墨香林苑,2015年建,板楼,201807,南,高楼层/共34层,平层/毛坯,122.24
70,220,西湖区,翰墨香林苑,2015年建,板楼,201802,南,中楼层/共31层,平层/精装,84.25
70,230,西湖区,翰墨香林苑,2015年建,板楼,201902,南 北,低楼层/共31层,平层/精装,86.98
70,223,西湖区,翰墨香林苑,2015年建,板楼,201810,南,高楼层/共31层,平层/精装,84.21
70,173,西湖区,翰墨香林苑,2012年建,板楼,201801,南,高楼层/共27层,平层/简装,63
70,380,西湖区,翰墨香林苑,2007年建,板楼,201903,南 北,中楼层/共11层,简装,137.86
70,1450,西湖区,翰墨香林苑,2015年建,板塔结合,201808,南,联排/共3层,毛坯,522.72
70,450,西湖区,翰墨香林苑,2014年建,板楼,201903,南,低楼层/共9层,平层/毛坯,161.16
70,360,西湖区,翰墨香林苑,2009年建,板楼,201603,南,中楼层/共14层,平层/简装,126.93
70,370,西湖区,佳兆业玖珑山,2007年建,板楼,201809,南 北,高楼层/共11层,平层/精装,151.14
70,750,西湖区,佳兆业玖珑山,2011年建,板楼,201810,南,中楼层/共27层,简装,278
70,488,西湖区,佳兆业玖珑山,2000年建,板楼,201803,南 北,低楼层/共3层,平层/精装,166.74
70,300,西湖区,金厦公寓,2010年建,板楼,201808,南 北,中楼层/共12层,平层/精装,140.3
70,218,西湖区,金厦公寓,2007年建,板楼,201709,南 北,低楼层/共6层,平层/毛坯,93.48
70,540,西湖区,金厦公寓,1998年建,板楼,201810,南,高楼层/共6层,精装,200.24
70,305,西湖区,金厦公寓,1998年建,板楼,201808,南 北,中楼层/共6层,平层/简装,103
70,310,西湖区,康乐香港城,2007年建,板楼,201808,南,中楼层/共11层,平层/简装,144.96
70,548,西湖区,兰庭国际,2011年建,板楼,201811,南,中楼层/共27层,平层/简装,183.82
70,385,西湖区,朗郡庭园,2003年建,板楼,201810,南 北,低楼层/共11层,平层/精装,174.07
70,280,西湖区,朗郡庭园,2008年建,板楼,201806,南,高楼层/共6层,平层/精装,126
70,320,西湖区,朗郡庭园,2008年建,板楼,201902,南 北,低楼层/共6层,平层/精装,139.77
70,345,西湖区,朗郡庭园,2007年建,板楼,201706,南 北,中楼层/共11层,毛坯,150.34
70,300,西湖区,朗郡庭园,2010年建,板楼,201903,南,高楼层/共11层,毛坯,130
70,198,西湖区,朗郡庭园,2003年建,板楼,201903,南 北,中楼层/共11层,平层/简装,85.47
70,400,西湖区,朗郡庭园,2008年建,板楼,201812,南 北,低楼层/共6层,简装,160.8
70,480,西湖区,朗郡庭园,2010年建,板楼,201808,南,高楼层/共17层,平层/毛坯,175
70,860,西湖区,朗郡庭园,2010年建,板楼,201803,南,联排/共1层,毛坯,308
70,255,西湖区,朗郡庭园,2010年建,板楼,201807,南,低楼层/共17层,平层/毛坯,87.75
70,305,西湖区,朗郡庭园,1998年建,板楼,201801,南 北,低楼层/共6层,平层/精装,103
70,600,西湖区,朗郡庭园,2010年建,暂无数据,201809,南,低楼层/共12层,毛坯,150.38
70,280,西湖区,浪漫和山,2010年建,板楼,201801,南,低楼层/共12层,平层/简装,141.62
70,330,西湖区,浪漫和山,2007年建,板楼,201810,南 北,中楼层/共9层,平层/简装,146
70,400,西湖区,浪漫和山,1998年建,板楼,201906,南,高楼层/共6层,简装,162.19
70,310,西湖区,浪漫和山,2015年建,板楼,201812,南 北,中楼层/共34层,平层/毛坯,122.4
70,650,西湖区,浪漫和山,2011年建,板楼,201805,南,低楼层/共27层,平层/毛坯,251.99
70,385,西湖区,浪漫和山,2009年建,板楼,201807,南,低楼层/共16层,平层/毛坯,149
70,170,西湖区,浪漫和山,2012年建,板楼,201705,南,低楼层/共27层,平层/简装,63
70,240,西湖区,浪漫和山,2015年建,板楼,201905,南 北,中楼层/共32层,平层/精装,88.75
70,170,西湖区,浪漫和山,2012年建,板楼,201808,南,高楼层/共27层,平层/毛坯,62.59
70,180,西湖区,浪漫和山,2012年建,板楼,201801,南 北,高楼层/共20层,平层/简装,63
70,258,西湖区,浪漫和山,2015年建,板楼,201808,南 西 北,高楼层/共31层,平层/简装,90.16
70,800,西湖区,浪漫和山,2011年建,板楼,201904,南,中楼层/共27层,毛坯,278
70,600,西湖区,浪漫和山,2011年建,板楼,201701,南 北,中楼层/共27层,平层/简装,206.97
70,475,西湖区,浪漫和山,2010年建,板楼,201807,南,中楼层/共17层,平层/毛坯,162.52
70,890,西湖区,浪漫和山,1999年建,板楼,201607,南 北,高楼层/共5层,精装,300.91
70,255,西湖区,浪漫和山,1998年建,板楼,201906,南,低楼层/共6层,平层/简装,86.03
70,780,西湖区,浪漫和山,2010年建,板楼,201904,南 北,联排/共2层,精装,261
70,360,西湖区,龙湖水晶郦城,1998年建,塔楼,201712,西 北,中楼层/共25层,简装,124.65
70,298,西湖区,绿城之江1号,2010年建,板楼,201905,南 北,低楼层/共11层,平层/精装,135.59
70,410,西湖区,绿城之江1号,2009年建,板楼,201712,南,低楼层/共17层,平层/精装,152.84
70,1200,西湖区,绿城之江1号,2012年建,塔楼,201712,南,低楼层/共23层,平层/精装,410
70,520,西湖区,南都德迦西区,2010年建,板楼,201609,南 北,低楼层/共17层,平层/毛坯,179.69
70,295,西湖区,乾成园,2010年建,板楼,201904,南,高楼层/共11层,精装,135.39
70,340,西湖区,乾成园,1997年建,板楼,201710,南 北,中楼层/共8层,平层/简装,119.27
70,275,西湖区,润达花园,2008年建,板楼,201812,南,高楼层/共6层,平层/精装,111.35
70,183,西湖区,润达花园,未知年建,板楼,201904,南,中楼层/共28层,平层/精装,62.14
70,395,西湖区,水木清华,2014年建,板楼,201901,南,低楼层/共11层,毛坯,162
70,398,西湖区,水木清华,2008年建,板楼,201812,南 北,高楼层/共6层,平层/精装,161.03
70,825,西湖区,水木清华,2010年建,板楼,201901,南,中楼层/共16层,毛坯,329.03
70,380,西湖区,水木清华,2009年建,板楼,201905,南,低楼层/共16层,平层/简装,145.59
70,750,西湖区,水木清华,2011年建,板楼,201810,南,高楼层/共27层,简装,278.11
70,900,西湖区,水木清华,2011年建,板楼,201810,南,联排/共3层,简装,316.19
70,360,西湖区,水木清华,未知年建,板楼,201612,南,低楼层/共14层,精装,125.66
70,260,西湖区,水木清华,2015年建,板楼,201902,南 西 北,中楼层/共31层,平层/精装,90
70,450,西湖区,水木清华,2009年建,板楼,201810,南,低楼层/共16层,平层/精装,154.35
70,185,西湖区,水木清华,2012年建,板楼,201902,南,中楼层/共27层,平层/简装,62.5
70,265,西湖区,水木清华,2007年建,板楼,201901,南,高楼层/共24层,毛坯,89.47
70,185,西湖区,水木清华,未知年建,板楼,201904,东,中楼层/共28层,平层/简装,62.41
70,400,西湖区,桃源春居,2000年建,板楼,201712,南,高楼层/共7层,平层/简装,144.55
70,225,西湖区,天虹公寓,2010年建,板楼,201803,南 北,低楼层/共6层,平层/精装,89.5
70,340,西湖区,天虹公寓,1998年建,板楼,201905,南 北,低楼层/共6层,简装,134.22
70,1400,西湖区,天虹公寓,2008年建,板楼,201811,南 北,独栋/共1层,毛坯,489.23
70,200,西湖区,天阳云筑,2003年建,板楼,201803,南 北,低楼层/共11层,平层/简装,100.35
70,300,西湖区,天苑花园,2010年建,板楼,201809,南,低楼层/共12层,精装,141.63
70,430,西湖区,天苑花园,2010年建,板楼,201906,南 北,高楼层/共11层,精装,202.9
70,215,西湖区,新世纪花苑,2003年建,暂无数据,201810,南 北,中楼层/共11层,平层/毛坯,152
70,370,西湖区,新世纪花苑,2007年建,板楼,201808,南 北,高楼层/共6层,毛坯,200.37
70,310,西湖区,新世纪花苑,2007年建,板楼,201811,南,高楼层/共10层,平层/简装,142.19
70,318,西湖区,新世纪花苑,2012年建,板楼,201903,南,低楼层/共17层,简装,116
70,620,西湖区,新世纪花苑,1998年建,板楼,201804,南,高楼层/共6层,简装,221.3
70,300,西湖区,新西湖花园,2010年建,板楼,201904,南 北,中楼层/共12层,平层/精装,134.39
70,300,西湖区,新西湖花园,1997年建,板塔结合,201807,南,低楼层/共6层,平层/简装,93.66
70,355,西湖区,信鸿花园北区,2003年建,板楼,201807,南 北,低楼层/共11层,平层/毛坯,181.49
70,600,西湖区,信鸿花园北区,2009年建,板楼,201905,南,中楼层/共4层,精装,229.63
70,260,西湖区,信鸿花园北区,1997年建,板楼,201812,南 北,高楼层/共6层,平层/简装,90.57
70,308,西湖区,信鸿花园北区,2008年建,板楼,201905,南,低楼层/共6层,精装,103
70,1600,西湖区,信鸿花园北区,2012年建,板楼,201902,南,低楼层/共23层,毛坯,522.05
70,270,西湖区,赞成岭上花苑,2010年建,板楼,201901,南,高楼层/共12层,平层/毛坯,134
70,305,西湖区,赞成岭上花苑,2003年建,板楼,201804,东南,低楼层/共11层,毛坯,148.55
70,330,西湖区,赞成岭上花苑,2003年建,板楼,201903,南,中楼层/共11层,平层/精装,142.5
70,375,西湖区,赞成岭上花苑,2003年建,板楼,201903,南,中楼层/共11层,精装,157.91
70,300,西湖区,赞成岭上花苑,1998年建,板楼,201712,南,高楼层/共6层,平层/简装,117
70,380,西湖区,赞成岭上花苑,2010年建,板楼,201808,南,高楼层/共12层,平层/精装,140.3
70,180,西湖区,赞成岭上花苑,2009年建,板楼,201808,南 北,低楼层/共17层,平层/简装,62.49
70,295,西湖区,赞成岭上花苑,2003年建,板楼,201903,南,高楼层/共11层,平层/精装,101.78
70,260,西湖区,赞成岭上花苑,1997年建,板楼,201811,南,中楼层/共5层,平层/简装,87.39
70,270,西湖区,赞成岭上花苑,2007年建,板楼,201903,南,中楼层/共24层,平层/毛坯,90.59
70,185,西湖区,赞成岭上花苑,未知年建,板楼,201903,南 北,低楼层/共24层,平层/精装,61.76
70,180,西湖区,中海定山府,2003年建,暂无数据,201812,南,低楼层/共11层,精装,142.5
70,270,西湖区,中海定山府,2010年建,板楼,201903,南,中楼层/共12层,简装,134.54
70,295,西湖区,中海定山府,2010年建,板楼,201904,南 北,高楼层/共12层,毛坯,134.87
70,310,西湖区,中海定山府,2007年建,板楼,201903,南,高楼层/共6层,平层/毛坯,137.6
70,900,西湖区,中海定山府,2006年建,板楼,201810,南,高楼层/共6层,毛坯,385.73
70,360,西湖区,中海定山府,2010年建,板楼,201808,南,低楼层/共12层,平层/精装,148.82
70,400,西湖区,中海定山府,2009年建,板楼,201808,南,中楼层/共16层,平层/毛坯,145.59
70,448,西湖区,中海定山府,1997年建,板楼,201810,南 北,中楼层/共6层,简装,159.8
70,280,西湖区,众安白马山庄,2010年建,板楼,201808,南 北,低楼层/共12层,平层/简装,135.35
70,306,西湖区,众安白马山庄,2010年建,板楼,201712,南 北,中楼层/共12层,平层/简装,134.87
70,310,西湖区,众安白马山庄,2007年建,板楼,201809,南 北,中楼层/共10层,简装,134.58
70,427,西湖区,众安白马山庄,2003年建,板楼,201904,南,高楼层/共11层,平层/简装,182
70,205,西湖区,众安白马山庄,2003年建,板楼,201807,南,高楼层/共11层,毛坯,87
70,310,西湖区,众安白马山庄,2007年建,板楼,201811,南,低楼层/共6层,平层/简装,129.02
70,332,西湖区,众安白马山庄,2010年建,板楼,201811,南,低楼层/共12层,精装,134.88
70,250,西湖区,众安白马山庄,2003年建,板楼,201809,南,低楼层/共11层,简装,99.92
70,210,西湖区,众安白马山庄,2015年建,板楼,201702,南,高楼层/共34层,平层/简装,83.48
70,500,西湖区,众安白马山庄,2011年建,板楼,201811,南,高楼层/共27层,平层/简装,190.23
70,670,西湖区,众安白马山庄,2010年建,板楼,201809,南,低楼层/共14层,其他,253
70,410,西湖区,众安白马山庄,2009年建,板楼,201906,南,低楼层/共17层,毛坯,154
70,285,西湖区,众安白马山庄,1998年建,板楼,201903,南 北,低楼层/共6层,简装,103
70,310,西湖区,众安白马山庄,1998年建,板楼,201903,南,高楼层/共5层,简装,111.55
70,180,西湖区,众安白马山庄,2012年建,板楼,201808,南,低楼层/共27层,平层/毛坯,62.77
70,470,西湖区,众安白马山庄,2010年建,板楼,201903,南,中楼层/共17层,平层/简装,163
70,261,西湖区,众安白马山庄,1998年建,塔楼,201809,东 南,中楼层/共25层,简装,90.28
70,390,西湖区,众安白马山庄,1998年建,板楼,201801,南 北,中楼层/共6层,平层/简装,134.05
70,1500,西湖区,众安白马山庄,2003年建,板楼,201711,南 北,共3层,毛坯,513.82
70,185,西湖区,众安白马山庄,未知年建,板楼,201710,南 西南,中楼层/共24层,简装,61.76
